Test Number,Round Number,Word,Match?,User Response,Reaction Time,Correct,Timestamp
1,1,BLUE,True,False,2.1735410690307617,False,2025-03-11T23:41:58.902728
1,1,YELLOW,True,True,0.0007190704345703125,True,2025-03-11T23:42:01.183916
1,1,BLUE,False,False,0.0011010169982910156,True,2025-03-11T23:42:01.287934
1,1,YELLOW,True,True,0.0008678436279296875,True,2025-03-11T23:42:01.392924
1,1,YELLOW,True,False,0.0009539127349853516,False,2025-03-11T23:42:01.497925
1,1,RED,True,True,0.0009720325469970703,True,2025-03-11T23:42:01.601942
1,1,YELLOW,True,False,0.001119852066040039,False,2025-03-11T23:42:01.709926
1,1,GREEN,True,False,0.0013010501861572266,False,2025-03-11T23:42:01.814926
1,1,RED,True,True,0.0066988468170166016,True,2025-03-11T23:42:01.919927
1,1,GREEN,True,False,0.0008578300476074219,False,2025-03-11T23:42:02.030945
1,1,BLUE,True,True,0.0006239414215087891,True,2025-03-11T23:42:02.137035
1,1,BLUE,True,False,0.0012998580932617188,False,2025-03-11T23:42:02.243939
1,1,YELLOW,True,True,0.008594989776611328,True,2025-03-11T23:42:02.349926
1,1,BLUE,True,False,0.0011720657348632812,False,2025-03-11T23:42:02.462929
1,1,RED,False,True,0.0009291172027587891,False,2025-03-11T23:42:02.567948
1,1,YELLOW,True,False,0.0009186267852783203,False,2025-03-11T23:42:02.674930
1,1,GREEN,True,True,0.0009491443634033203,True,2025-03-11T23:42:02.779950
1,1,YELLOW,True,False,0.0010449886322021484,False,2025-03-11T23:42:02.885956
1,1,BLUE,True,True,0.001107931137084961,True,2025-03-11T23:42:02.992934
1,1,BLUE,True,False,0.0009069442749023438,False,2025-03-11T23:42:03.097953
1,2,YELLOW,True,True,0.003331899642944336,True,2025-03-11T23:42:05.213356
1,2,BLUE,True,False,0.24101614952087402,False,2025-03-11T23:42:05.324953
1,2,YELLOW,True,True,0.000514984130859375,True,2025-03-11T23:42:05.669950
1,2,BLUE,True,False,0.0011050701141357422,False,2025-03-11T23:42:05.772956
1,2,GREEN,True,True,0.0011129379272460938,True,2025-03-11T23:42:05.877957
1,2,GREEN,True,False,0.0006639957427978516,False,2025-03-11T23:42:05.982973
1,2,YELLOW,True,False,0.0011758804321289062,False,2025-03-11T23:42:06.090975
1,2,YELLOW,True,False,0.030143022537231445,False,2025-03-11T23:42:06.197961
1,2,RED,True,True,0.0008890628814697266,True,2025-03-11T23:42:06.332957
1,2,GREEN,True,False,0.0008828639984130859,False,2025-03-11T23:42:06.436976
1,2,BLUE,True,True,0.0009710788726806641,True,2025-03-11T23:42:06.541978
1,2,BLUE,False,False,0.0011301040649414062,True,2025-03-11T23:42:06.647962
1,2,RED,True,False,0.0009610652923583984,False,2025-03-11T23:42:06.752981
1,2,YELLOW,True,False,0.0007870197296142578,False,2025-03-11T23:42:06.858982
1,2,GREEN,True,True,0.0009548664093017578,True,2025-03-11T23:42:06.966965
1,2,BLUE,True,False,0.0009560585021972656,False,2025-03-11T23:42:07.071982
1,2,YELLOW,True,True,0.0007841587066650391,True,2025-03-11T23:42:07.177986
1,2,GREEN,True,False,0.001294851303100586,False,2025-03-11T23:42:07.285061
1,2,BLUE,True,True,0.001219034194946289,True,2025-03-11T23:42:07.390967
1,2,YELLOW,True,False,0.0010018348693847656,False,2025-03-11T23:42:07.496968
1,3,YELLOW,True,True,0.002007007598876953,True,2025-03-11T23:42:09.608409
1,3,BLUE,True,False,0.1887669563293457,False,2025-03-11T23:42:09.717004
1,3,GREEN,True,True,0.0007598400115966797,True,2025-03-11T23:42:10.012985
1,3,YELLOW,False,False,0.0008580684661865234,True,2025-03-11T23:42:10.116985
1,3,RED,True,True,0.0013082027435302734,True,2025-03-11T23:42:10.221003
1,3,YELLOW,True,False,0.0011060237884521484,False,2025-03-11T23:42:10.331008
1,3,GREEN,True,False,0.00152587890625,False,2025-03-11T23:42:10.438009
1,3,RED,True,True,0.000904083251953125,True,2025-03-11T23:42:10.543991
1,3,BLUE,True,False,0.0012371540069580078,False,2025-03-11T23:42:10.648001
1,3,YELLOW,True,True,0.0011050701141357422,True,2025-03-11T23:42:10.753019
1,3,GREEN,True,False,0.0012040138244628906,False,2025-03-11T23:42:10.860009
1,3,YELLOW,True,False,0.0012242794036865234,False,2025-03-11T23:42:10.966012
1,3,GREEN,True,False,0.02111506462097168,False,2025-03-11T23:42:11.071994
1,3,BLUE,True,True,0.001069784164428711,True,2025-03-11T23:42:11.197011
1,3,BLUE,True,False,0.0011281967163085938,False,2025-03-11T23:42:11.304012
1,3,BLUE,False,True,0.0009920597076416016,False,2025-03-11T23:42:11.410014
1,3,GREEN,True,False,0.0010488033294677734,False,2025-03-11T23:42:11.515998
1,3,GREEN,True,True,0.0010271072387695312,True,2025-03-11T23:42:11.620998
1,3,GREEN,True,False,0.2219388484954834,False,2025-03-11T23:42:11.726014
1,3,GREEN,True,True,0.0007059574127197266,True,2025-03-11T23:42:12.053997
1,4,YELLOW,False,True,0.0020668506622314453,False,2025-03-11T23:42:14.163721
1,4,GREEN,True,False,0.13528013229370117,False,2025-03-11T23:42:14.273037
1,4,BLUE,True,True,0.0007090568542480469,True,2025-03-11T23:42:14.513025
1,4,RED,True,False,0.0010929107666015625,False,2025-03-11T23:42:14.616027
1,4,YELLOW,True,True,0.0010099411010742188,True,2025-03-11T23:42:14.721039
1,4,BLUE,True,False,0.0007128715515136719,False,2025-03-11T23:42:14.827041
1,4,RED,True,False,0.001425027847290039,False,2025-03-11T23:42:14.933052
1,4,YELLOW,True,False,0.017439842224121094,False,2025-03-11T23:42:15.039046
1,4,GREEN,True,True,0.0011529922485351562,True,2025-03-11T23:42:15.162040
1,4,GREEN,True,True,0.0004837512969970703,True,2025-03-11T23:42:15.268023
1,4,YELLOW,True,False,0.0008943080902099609,False,2025-03-11T23:42:15.370028
1,4,BLUE,True,False,0.0010080337524414062,False,2025-03-11T23:42:15.474025
1,4,BLUE,False,True,0.0011169910430908203,False,2025-03-11T23:42:15.579045
1,4,YELLOW,True,False,0.0010068416595458984,False,2025-03-11T23:42:15.685030
1,4,GREEN,True,True,0.0009920597076416016,True,2025-03-11T23:42:15.790043
1,4,YELLOW,True,False,0.0010492801666259766,False,2025-03-11T23:42:15.896030
1,4,GREEN,True,True,0.0009629726409912109,True,2025-03-11T23:42:16.001047
1,4,YELLOW,True,False,0.0009248256683349609,False,2025-03-11T23:42:16.107052
1,4,RED,True,False,0.0015208721160888672,False,2025-03-11T23:42:16.213060
1,4,RED,True,True,0.026566743850708008,True,2025-03-11T23:42:16.319050
1,5,YELLOW,False,True,0.002165079116821289,False,2025-03-11T23:42:18.455752
1,5,RED,False,False,0.3332228660583496,True,2025-03-11T23:42:18.565068
1,5,BLUE,False,True,0.0007700920104980469,False,2025-03-11T23:42:19.003056
1,5,YELLOW,False,False,0.0006010532379150391,True,2025-03-11T23:42:19.107053
1,5,GREEN,False,True,0.0005521774291992188,False,2025-03-11T23:42:19.209061
1,5,RED,False,False,0.0012710094451904297,True,2025-03-11T23:42:19.312086
